isim,dogum_yil,dogum_enlem,dogum_boylam,olum_yil,olum_enlem,olum_boylam,zorluk
Mustafa Kemal Atatürk,1881,40.6401,22.9444,1938,41.0102,28.9802,Kolay
Fatih Sultan Mehmed,1432,41.6764,26.5516,1481,40.8016,29.4308,Kolay
Kanuni Sultan Süleyman,1494,41.0027,39.7168,1566,46.0490,17.8164,Orta
Yavuz Sultan Selim,1470,41.0027,39.7168,1520,41.2500,27.9000,Orta
Osman Gazi,1258,39.7500,30.0333,1326,40.1833,29.0667,Orta
II. Abdülhamid,1842,41.0082,28.9784,1918,41.0422,29.0433,Orta
Albert Einstein,1879,48.3974,9.9933,1955,40.3487,-74.6590,Kolay
Isaac Newton,1643,52.8094,-0.6303,1727,51.5074,-0.1278,Kolay
Galileo Galilei,1564,43.7158,10.4017,1642,43.7573,11.2186,Kolay
Marie Curie,1867,52.2297,21.0122,1934,45.9100,6.7000,Orta
Charles Darwin,1809,52.7073,-2.7554,1882,51.3322,0.0543,Orta
Nikola Tesla,1856,44.5656,15.2425,1943,40.7128,-74.0060,Kolay
Thomas Edison,1847,41.3895,-82.6052,1931,40.7715,-74.2818,Kolay
Stephen Hawking,1942,51.7520,-1.2577,2018,52.2053,0.1218,Kolay
Alan Turing,1912,51.5074,-0.1278,1954,53.3283,-2.2294,Zor
Nicolaus Copernicus,1473,53.0138,18.5984,1543,54.3542,19.6822,Orta
Johannes Kepler,1571,48.7758,8.8711,1630,49.0134,12.1016,Zor
Louis Pasteur,1822,47.0931,5.4912,1895,48.8311,2.2154,Zor
Alexander Graham Bell,1847,55.9533,-3.1883,1922,46.1328,-60.7411,Orta
Ada Lovelace,1815,51.5074,-0.1278,1852,51.5074,-0.1278,Zor
Sigmund Freud,1856,49.6417,18.1450,1939,51.5074,-0.1278,Orta
Archimedes,-287,37.0755,15.2866,-212,37.0755,15.2866,Orta
Guglielmo Marconi,1874,44.4942,11.3465,1937,41.8919,12.5113,Zor
İbn Sina,980,39.8111,64.5217,1037,34.7981,48.5146,Orta
Henry Ford,1863,42.3222,-83.1764,1947,42.3131,-83.2081,Orta
Karl Benz,1844,49.4875,8.4660,1929,49.4758,8.6833,Zor
Büyük İskender,-356,40.7592,22.5264,-323,32.5355,44.4239,Kolay
Julius Caesar,-100,41.8919,12.5113,-44,41.8954,12.4780,Kolay
Napoleon Bonaparte,1769,41.9267,8.7369,1821,-15.9583,-5.7083,Kolay
Cengiz Han,1162,48.8542,110.4358,1227,38.4872,106.2309,Kolay
Kleopatra,-69,31.2001,29.9187,-30,31.2001,29.9187,Kolay
Kraliçe Victoria,1819,51.5074,-0.1278,1901,50.6603,-1.4939,Orta
Abraham Lincoln,1809,37.5611,-85.7333,1865,38.9072,-77.0369,Kolay
George Washington,1732,38.1873,-76.9247,1799,38.7079,-77.0861,Kolay
Winston Churchill,1874,51.8419,-1.3614,1965,51.5074,-0.1278,Orta
Nelson Mandela,1918,-31.9540,28.6098,2013,-26.1604,28.0537,Orta
Mahatma Gandi,1869,21.6417,69.6250,1948,28.6139,77.2090,Kolay
Charlemagne,742,50.7753,6.0839,814,50.7753,6.0839,Zor
Simon Bolivar,1783,10.5000,-66.9167,1830,11.2408,-74.1997,Zor
Jeanne d'Arc,1412,48.4425,5.6744,1431,49.4431,1.0993,Zor
